t,mode,dist,speed,cmd_speed,x,y
1.767,1,42.849,5.055,900.000,845.15,324.00
1.783,1,42.760,5.319,900.000,845.24,324.00
1.800,1,42.671,5.372,900.000,845.33,324.00
1.817,1,42.581,5.369,900.000,845.42,324.00
1.833,1,42.492,5.350,900.000,845.51,324.00
1.850,1,42.403,5.328,900.000,845.60,324.00
1.867,1,42.382,1.279,0.000,845.62,324.00
1.883,1,42.377,0.307,0.000,845.62,324.00
1.900,1,42.376,0.074,0.000,845.62,324.00
1.917,1,42.375,0.018,0.000,845.62,324.00
1.933,1,42.375,0.004,0.000,845.62,324.00
1.950,1,42.441,3.910,900.000,845.56,324.00
1.967,1,42.523,4.942,900.000,845.48,324.00
1.983,1,42.610,5.227,900.000,845.39,324.00
2.000,1,42.699,5.319,900.000,845.30,324.00
2.017,1,42.788,5.360,900.000,845.21,324.00
2.033,1,42.878,5.388,900.000,845.12,324.00
2.050,1,42.968,5.413,900.000,845.03,324.00
2.067,1,43.059,5.437,900.000,844.94,324.00
2.083,1,43.150,5.461,900.000,844.85,324.00
2.100,1,43.241,5.486,900.000,844.76,324.00
2.117,1,43.333,5.510,900.000,844.67,324.00
2.133,1,43.425,5.534,900.000,844.57,324.00
2.150,1,43.518,5.559,900.000,844.48,324.00
2.167,1,43.611,5.584,900.000,844.39,324.00
2.183,1,43.704,5.609,900.000,844.30,324.00
2.200,1,43.798,5.634,900.000,844.20,324.00
2.217,1,43.893,5.659,900.000,844.11,324.00
2.233,1,43.987,5.685,900.000,844.01,324.00
2.250,1,44.083,5.710,900.000,843.92,324.00
2.267,1,44.178,5.736,900.000,843.82,324.00
2.283,1,44.274,5.762,900.000,843.73,324.00
2.300,1,44.371,5.789,900.000,843.63,324.00
2.317,1,44.468,5.815,900.000,843.53,324.00
2.333,1,44.565,5.842,900.000,843.44,324.00
2.350,1,44.663,5.868,900.000,843.34,324.00
2.367,1,44.761,5.895,900.000,843.24,324.00
2.383,1,44.860,5.923,900.000,843.14,324.00
2.400,1,44.959,5.950,900.000,843.04,324.00
2.417,1,45.058,5.977,900.000,842.94,324.00
2.433,1,45.159,6.005,900.000,842.84,324.00
2.450,1,45.259,6.033,900.000,842.74,324.00
2.467,1,45.360,6.061,900.000,842.64,324.00
2.483,1,45.462,6.090,900.000,842.54,324.00
2.500,1,45.564,6.118,900.000,842.44,324.00
2.517,1,45.666,6.147,900.000,842.33,324.00
2.533,1,45.769,6.176,900.000,842.23,324.00
2.550,1,45.872,6.205,900.000,842.13,324.00
2.567,1,45.976,6.235,900.000,842.02,324.00
2.583,1,46.081,6.265,900.000,841.92,324.00
2.600,1,46.186,6.294,900.000,841.81,324.00
2.617,1,46.291,6.325,900.000,841.71,324.00
2.633,1,46.397,6.355,900.000,841.60,324.00
2.650,1,46.503,6.386,900.000,841.50,324.00
2.667,1,46.610,6.416,900.000,841.39,324.00
2.683,1,46.718,6.447,900.000,841.28,324.00
2.700,1,46.826,6.479,900.000,841.17,324.00
2.717,1,46.934,6.510,900.000,841.07,324.00
2.733,1,47.043,6.542,900.000,840.96,324.00
2.750,1,47.153,6.574,900.000,840.85,324.00
2.767,1,47.263,6.606,900.000,840.74,324.00
2.783,1,47.374,6.639,900.000,840.63,324.00
2.800,1,47.485,6.672,900.000,840.52,324.00
2.817,1,47.597,6.705,900.000,840.40,324.00
2.833,1,47.709,6.738,900.000,840.29,324.00
2.850,1,47.822,6.772,900.000,840.18,324.00
2.867,1,47.935,6.806,900.000,840.06,324.00
2.883,1,48.049,6.840,900.000,839.95,324.00
2.900,1,48.164,6.874,900.000,839.84,324.00
2.917,1,48.279,6.909,900.000,839.72,324.00
2.933,1,48.395,6.944,900.000,839.61,324.00
2.950,1,48.511,6.979,900.000,839.49,324.00
2.967,1,48.628,7.015,900.000,839.37,324.00
2.983,1,48.745,7.051,900.000,839.25,324.00
3.000,1,48.863,7.087,900.000,839.14,324.00
3.017,1,48.982,7.123,900.000,839.02,324.00
3.033,1,49.102,7.160,900.000,838.90,324.00
3.050,1,49.221,7.197,900.000,838.78,324.00
3.067,1,49.342,7.234,900.000,838.66,324.00
3.083,1,49.463,7.272,900.000,838.54,324.00
3.100,1,49.585,7.310,900.000,838.41,324.00
3.117,1,49.708,7.349,900.000,838.29,324.00
3.133,1,49.831,7.387,900.000,838.17,324.00
3.150,1,49.954,7.426,900.000,838.05,324.00
3.167,1,49.992,2.274,0.000,838.01,324.00
3.183,1,50.004,0.697,0.000,838.00,324.00
3.200,1,50.008,0.214,0.000,837.99,324.00
3.217,1,50.009,0.066,0.000,837.99,324.00
3.233,1,50.009,0.020,0.000,837.99,324.00
3.250,1,50.009,0.006,0.000,837.99,324.00
3.267,1,50.009,0.002,0.000,837.99,324.00
3.283,1,50.009,0.001,0.000,837.99,324.00
3.300,1,50.009,0.000,0.000,837.99,324.00
3.317,1,50.009,0.000,0.000,837.99,324.00
3.333,1,50.009,0.000,0.000,837.99,324.00
3.350,1,50.009,0.000,0.000,837.99,324.00
3.367,1,50.009,0.000,0.000,837.99,324.00
3.383,1,50.009,0.000,0.000,837.99,324.00
3.400,1,50.009,0.000,0.000,837.99,324.00
3.417,1,50.009,0.000,0.000,837.99,324.00
3.433,1,50.009,0.000,0.000,837.99,324.00
3.450,1,50.009,0.000,0.000,837.99,324.00
3.467,1,50.009,0.000,0.000,837.99,324.00
3.483,1,50.009,0.000,0.000,837.99,324.00
3.500,1,50.009,0.000,0.000,837.99,324.00
3.517,1,50.009,0.000,0.000,837.99,324.00
3.533,1,50.009,0.000,0.000,837.99,324.00
3.550,1,50.009,0.000,0.000,837.99,324.00
3.567,1,50.009,0.000,0.000,837.99,324.00
3.583,1,50.009,0.000,0.000,837.99,324.00
3.600,1,50.009,0.000,0.000,837.99,324.00
3.617,1,50.009,0.000,0.000,837.99,324.00
3.633,1,50.009,0.000,0.000,837.99,324.00
3.650,1,50.009,0.000,0.000,837.99,324.00
3.667,1,50.009,0.000,0.000,837.99,324.00
3.683,1,50.009,0.000,0.000,837.99,324.00
3.700,1,50.009,0.000,0.000,837.99,324.00
3.717,1,50.009,0.000,0.000,837.99,324.00
3.733,1,50.009,0.000,0.000,837.99,324.00
3.750,1,50.009,0.000,0.000,837.99,324.00
3.767,1,50.009,0.000,0.000,837.99,324.00
3.783,1,50.009,0.000,0.000,837.99,324.00
3.800,1,50.009,0.000,0.000,837.99,324.00
3.817,1,50.009,0.000,0.000,837.99,324.00
3.833,1,50.009,0.000,0.000,837.99,324.00
3.850,1,50.009,0.000,0.000,837.99,324.00
3.867,1,50.009,0.000,0.000,837.99,324.00
3.883,1,50.009,0.000,0.000,837.99,324.00
3.900,1,50.009,0.000,0.000,837.99,324.00
3.917,1,50.009,0.000,0.000,837.99,324.00
3.933,1,50.009,0.000,0.000,837.99,324.00
3.950,1,50.009,0.000,0.000,837.99,324.00
3.967,1,50.009,0.000,0.000,837.99,324.00
3.983,1,50.009,0.000,0.000,837.99,324.00
4.000,1,50.009,0.000,0.000,837.99,324.00
4.017,1,50.009,0.000,0.000,837.99,324.00
4.033,1,50.009,0.000,0.000,837.99,324.00
4.050,1,50.009,0.000,0.000,837.99,324.00
4.067,1,50.009,0.000,0.000,837.99,324.00
4.083,1,50.009,0.000,0.000,837.99,324.00
4.100,1,50.009,0.000,0.000,837.99,324.00
4.117,1,50.009,0.000,0.000,837.99,324.00
4.133,1,50.009,0.000,0.000,837.99,324.00
4.150,1,50.009,0.000,0.000,837.99,324.00
4.167,1,50.009,0.000,0.000,837.99,324.00
4.183,1,50.009,0.000,0.000,837.99,324.00
4.200,1,50.009,0.000,0.000,837.99,324.00
4.217,1,50.009,0.000,0.000,837.99,324.00
4.233,1,50.009,0.000,0.000,837.99,324.00
4.250,1,50.009,0.000,0.000,837.99,324.00
4.267,1,50.009,0.000,0.000,837.99,324.00
4.283,1,50.009,0.000,0.000,837.99,324.00
4.300,1,50.009,0.000,0.000,837.99,324.00
4.317,1,50.009,0.000,0.000,837.99,324.00
4.333,1,50.009,0.000,0.000,837.99,324.00
4.350,1,50.009,0.000,0.000,837.99,324.00
4.367,1,50.009,0.000,0.000,837.99,324.00
4.383,1,50.009,0.000,0.000,837.99,324.00
4.400,1,50.009,0.000,0.000,837.99,324.00
4.417,1,50.009,0.000,0.000,837.99,324.00
4.433,1,50.009,0.000,0.000,837.99,324.00
4.450,1,50.009,0.000,0.000,837.99,324.00
4.467,1,50.009,0.000,0.000,837.99,324.00
4.483,1,50.009,0.000,0.000,837.99,324.00
4.500,1,50.009,0.000,0.000,837.99,324.00
4.517,1,50.009,0.000,0.000,837.99,324.00
4.533,1,50.009,0.000,0.000,837.99,324.00
4.550,1,50.009,0.000,0.000,837.99,324.00
4.567,1,50.009,0.000,0.000,837.99,324.00
4.583,1,50.009,0.000,0.000,837.99,324.00
4.600,1,50.009,0.000,0.000,837.99,324.00
4.617,1,50.009,0.000,0.000,837.99,324.00
4.633,1,50.009,0.000,0.000,837.99,324.00
4.650,1,50.009,0.000,0.000,837.99,324.00
4.667,1,50.009,0.000,0.000,837.99,324.00
4.683,1,50.009,0.000,0.000,837.99,324.00
4.700,1,50.009,0.000,0.000,837.99,324.00
4.717,1,50.009,0.000,0.000,837.99,324.00
4.733,1,50.009,0.000,0.000,837.99,324.00
4.750,1,50.009,0.000,0.000,837.99,324.00
4.767,1,50.009,0.000,0.000,837.99,324.00
4.783,1,50.009,0.000,0.000,837.99,324.00
4.800,1,50.009,0.000,0.000,837.99,324.00
4.817,1,50.009,0.000,0.000,837.99,324.00
4.833,1,50.009,0.000,0.000,837.99,324.00
4.850,1,50.009,0.000,0.000,837.99,324.00
4.867,1,50.009,0.000,0.000,837.99,324.00
4.883,1,50.009,0.000,0.000,837.99,324.00
4.900,1,50.009,0.000,0.000,837.99,324.00
4.917,1,50.009,0.000,0.000,837.99,324.00
4.933,1,50.009,0.000,0.000,837.99,324.00
4.950,1,50.009,0.000,0.000,837.99,324.00
4.967,1,50.009,0.000,0.000,837.99,324.00
4.983,1,50.009,0.000,0.000,837.99,324.00
5.000,1,50.009,0.000,0.000,837.99,324.00
5.017,1,50.009,0.000,0.000,837.99,324.00
5.033,1,50.009,0.000,0.000,837.99,324.00
5.050,1,50.009,0.000,0.000,837.99,324.00
5.067,1,50.009,0.000,0.000,837.99,324.00
5.083,1,50.009,0.000,0.000,837.99,324.00
5.100,1,50.009,0.000,0.000,837.99,324.00
5.117,1,50.009,0.000,0.000,837.99,324.00
5.133,1,50.009,0.000,0.000,837.99,324.00
5.150,1,50.009,0.000,0.000,837.99,324.00
5.167,1,50.009,0.000,0.000,837.99,324.00
5.183,1,50.009,0.000,0.000,837.99,324.00
5.200,1,50.009,0.000,0.000,837.99,324.00
5.217,1,50.009,0.000,0.000,837.99,324.00
5.233,1,50.009,0.000,0.000,837.99,324.00
5.250,1,50.009,0.000,0.000,837.99,324.00
5.267,1,50.009,0.000,0.000,837.99,324.00
5.283,1,50.009,0.000,0.000,837.99,324.00
5.300,1,50.009,0.000,0.000,837.99,324.00
5.317,1,50.009,0.000,0.000,837.99,324.00
5.333,1,50.009,0.000,0.000,837.99,324.00
5.350,1,50.009,0.000,0.000,837.99,324.00
5.367,1,50.009,0.000,0.000,837.99,324.00
5.383,1,50.009,0.000,0.000,837.99,324.00
5.400,1,50.009,0.000,0.000,837.99,324.00
5.417,1,50.009,0.000,0.000,837.99,324.00
5.433,1,50.009,0.000,0.000,837.99,324.00
5.450,1,50.009,0.000,0.000,837.99,324.00
5.467,1,50.009,0.000,0.000,837.99,324.00
5.483,1,50.009,0.000,0.000,837.99,324.00
5.500,1,50.009,0.000,0.000,837.99,324.00
5.517,1,50.009,0.000,0.000,837.99,324.00
5.533,1,50.009,0.000,0.000,837.99,324.00
5.550,1,50.009,0.000,0.000,837.99,324.00
5.567,1,50.009,0.000,0.000,837.99,324.00
5.583,1,50.009,0.000,0.000,837.99,324.00
5.600,1,50.009,0.000,0.000,837.99,324.00
5.617,1,50.009,0.000,0.000,837.99,324.00
5.633,1,50.009,0.000,0.000,837.99,324.00
5.650,1,50.009,0.000,0.000,837.99,324.00
5.667,1,50.009,0.000,0.000,837.99,324.00
5.683,1,50.009,0.000,0.000,837.99,324.00
5.700,1,50.009,0.000,0.000,837.99,324.00
5.717,1,50.009,0.000,0.000,837.99,324.00
5.733,1,50.009,0.000,0.000,837.99,324.00
5.750,1,50.009,0.000,0.000,837.99,324.00
5.767,1,50.009,0.000,0.000,837.99,324.00
5.783,1,50.009,0.000,0.000,837.99,324.00
5.800,1,50.009,0.000,0.000,837.99,324.00
5.817,1,50.009,0.000,0.000,837.99,324.00
5.833,1,50.009,0.000,0.000,837.99,324.00
5.850,1,50.009,0.000,0.000,837.99,324.00
5.867,1,50.009,0.000,0.000,837.99,324.00
5.883,1,50.009,0.000,0.000,837.99,324.00
5.900,1,50.009,0.000,0.000,837.99,324.00
5.917,1,50.009,0.000,0.000,837.99,324.00
5.933,1,50.009,0.000,0.000,837.99,324.00
5.950,1,50.009,0.000,0.000,837.99,324.00
5.967,1,50.009,0.000,0.000,837.99,324.00
5.983,1,50.009,0.000,0.000,837.99,324.00
6.000,1,50.009,0.000,0.000,837.99,324.00
6.017,1,50.009,0.000,0.000,837.99,324.00
6.033,1,50.009,0.000,0.000,837.99,324.00
6.050,1,50.009,0.000,0.000,837.99,324.00
6.067,1,50.009,0.000,0.000,837.99,324.00
6.083,1,50.009,0.000,0.000,837.99,324.00
6.100,1,50.009,0.000,0.000,837.99,324.00
6.117,1,50.009,0.000,0.000,837.99,324.00
6.133,1,50.009,0.000,0.000,837.99,324.00
6.150,1,50.009,0.000,0.000,837.99,324.00
6.167,1,50.009,0.000,0.000,837.99,324.00
6.183,1,50.009,0.000,0.000,837.99,324.00
6.200,1,50.009,0.000,0.000,837.99,324.00
6.217,1,50.009,0.000,0.000,837.99,324.00
6.233,1,50.009,0.000,0.000,837.99,324.00
6.250,1,50.009,0.000,0.000,837.99,324.00
6.267,1,50.009,0.000,0.000,837.99,324.00
6.283,1,50.009,0.000,0.000,837.99,324.00
6.300,1,50.009,0.000,0.000,837.99,324.00
